"module name","license","repository"
"@actions/exec@1.1.1","MIT","https://github.com/actions/toolkit"
"@actions/github@6.0.1","MIT","https://github.com/actions/toolkit"
"@actions/http-client@2.2.3","MIT","https://github.com/actions/toolkit"
"@actions/io@1.1.3","MIT","https://github.com/actions/toolkit"
"@adobe/css-tools@4.4.3","MIT","https://github.com/adobe/css-tools"
"@ampproject/remapping@2.3.0","Apache-2.0","https://github.com/ampproject/remapping"
"@angular-devkit/architect@0.1802.19","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-angular@18.2.19","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-webpack@0.1802.19","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@16.0.1","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@17.3.11","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@18.2.19","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/schematics@16.0.1","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/schematics@17.3.11","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/schematics@18.2.19","MIT","https://github.com/angular/angular-cli"
"@angular-eslint/builder@18.4.3","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/bundled-angular-compiler@18.4.3","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/eslint-plugin-template@18.4.3","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/eslint-plugin@18.4.3","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/schematics@18.4.3","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/template-parser@18.4.3","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/utils@18.4.3","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular/animations@18.2.13","MIT","https://github.com/angular/angular"
"@angular/build@18.2.19","MIT","https://github.com/angular/angular-cli"
"@angular/cdk@18.2.0","MIT","https://github.com/angular/components"
"@angular/cli@18.2.19","MIT","https://github.com/angular/angular-cli"
"@angular/common@18.2.13","MIT","https://github.com/angular/angular"
"@angular/compiler-cli@18.2.13","MIT","https://github.com/angular/angular"
"@angular/compiler@18.2.13","MIT","https://github.com/angular/angular"
"@angular/core@18.2.13","MIT","https://github.com/angular/angular"
"@angular/forms@18.2.13","MIT","https://github.com/angular/angular"
"@angular/language-service@18.2.13","MIT","https://github.com/angular/angular"
"@angular/material@18.2.0","MIT","https://github.com/angular/components"
"@angular/platform-browser-dynamic@18.2.13","MIT","https://github.com/angular/angular"
"@angular/platform-browser@18.2.13","MIT","https://github.com/angular/angular"
"@angular/platform-server@18.2.13","MIT","https://github.com/angular/angular"
"@angular/router@18.2.13","MIT","https://github.com/angular/angular"
"@angular/ssr@18.2.19","MIT","https://github.com/angular/angular-cli"
"@ap4/source@0.0.1","UNLICENSED",""
"@babel/code-frame@7.27.1","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.27.5","MIT","https://github.com/babel/babel"
"@babel/core@7.25.2","MIT","https://github.com/babel/babel"
"@babel/core@7.26.10","MIT","https://github.com/babel/babel"
"@babel/generator@7.26.10","MIT","https://github.com/babel/babel"
"@babel/generator@7.27.5","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.24.7","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.27.3","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.27.2","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-create-regexp-features-plugin@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-define-polyfill-provider@0.6.4","MIT","https://github.com/babel/babel-polyfills"
"@babel/helper-member-expression-to-functions@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.27.3","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-remap-async-to-generator@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.24.7","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-wrap-function@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.27.6","MIT","https://github.com/babel/babel"
"@babel/parser@7.27.5","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-firefox-class-in-computed-class-key@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-safari-class-field-initializer-scope@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-decorators@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-private-property-in-object@7.21.0-placeholder-for-preset-env.2","MIT","https://github.com/babel/babel-plugin-proposal-private-property-in-object"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-class-static-block@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-decorators@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-assertions@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-attributes@7.24.7","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-attributes@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-jsx@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/plugin-syntax-private-property-in-object@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-top-level-await@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-typescript@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-unicode-sets-regex@7.18.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-arrow-functions@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-async-generator-functions@7.26.8","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-async-to-generator@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoped-functions@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoping@7.27.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-class-properties@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-class-static-block@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-classes@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-computed-properties@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-destructuring@7.27.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-dotall-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-duplicate-keys@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-duplicate-named-capturing-groups-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-dynamic-import@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-exponentiation-operator@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-export-namespace-from@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-for-of@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-function-name@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-json-strings@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-literals@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-logical-assignment-operators@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-member-expression-literals@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-amd@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-commonjs@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-systemjs@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-umd@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-named-capturing-groups-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-new-target@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-nullish-coalescing-operator@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-numeric-separator@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-object-rest-spread@7.27.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-object-super@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-optional-catch-binding@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-optional-chaining@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-parameters@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-private-methods@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-private-property-in-object@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-property-literals@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-regenerator@7.27.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-regexp-modifiers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-reserved-words@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-runtime@7.26.10","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-shorthand-properties@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-spread@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-sticky-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-template-literals@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typeof-symbol@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typescript@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-escapes@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-property-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-sets-regex@7.27.1","MIT","https://github.com/babel/babel"
"@babel/preset-env@7.26.9","MIT","https://github.com/babel/babel"
"@babel/preset-modules@0.1.6-no-external-plugins","MIT","https://github.com/babel/preset-modules"
"@babel/preset-typescript@7.27.1","MIT","https://github.com/babel/babel"
"@babel/runtime-corejs3@7.27.6","MIT","https://github.com/babel/babel"
"@babel/runtime@7.26.10","MIT","https://github.com/babel/babel"
"@babel/template@7.27.2","MIT","https://github.com/babel/babel"
"@babel/traverse@7.27.4","MIT","https://github.com/babel/babel"
"@babel/types@7.27.6","MIT","https://github.com/babel/babel"
